Qual o nome do órgão em que você trabalha?;órgão;Qual o seu cargo?;Cargo_Cat;Município;COD_UF;UF;Estado;Qual a sua ocupação?;Quais são as suas dúvidas em relação à LPG?;Quais são as suas dúvidas em relação à PNAB?
Secretaria Municipal de Cultura, Lazer e Juventude - Penedo/AL;Secretaria Municipal de Cultura;Superintendente de Lazer, Cultura e Eventos;Superintendente;Penedo;27;AL;ALAGOAS;Servidor da Pasta de Cultura;Capacitação;Capacitação
Secretaria Municipal de Cultura e Turismo;Secretaria Municipal de Cultura;Secretaria;Secretário;JaramataiaPenedo;27;AL;ALAGOAS;Gestor da Pasta de Cultura;Execução;PAAR
Prefeitura de Limoeiro de Anadia;Prefeitura;GMC;Gerente;Maceió;27;AL;ALAGOAS;Servidor da Pasta de Cultura;Sobre a prestação de contas;Sobre o Plano de Anual de Aplicação dos recursos (PAAR)
Secretaria de Cultura e Turismo;Secretaria Municipal de Cultura;Assessor Técnico;Assessor;São Sebastião;27;AL;ALAGOAS;Consultor;"- Existe alguma minuta que sirva como exemplo para que a gente possa usar no processo de termo de contrato e assinatura dos valores a serem repassados para os aprovados nos respectivos editais?
- Como será feita a inserção dos projetos depois de aprovados, executados e entregues os resultados?
- Os pareceristas podem e devem receber declaração do processo de sua avaliação, assim como após a sua aprovação (dos projetos) com carater de melhorias daqueles que entraram com recurso, quais os procedimentos seguir (podemos enquanto gestor elaborar um termo de compromisso na melhoria dos projetos, ou deixamos o projeto a ser executado,  e só depois no momento da prestação de contas podemos cobrar a qualidade do projeto:";- Quando não temos Conselho, e não temos fundo de cultura, como procederemos os próximos passos?
Ministério da Cultura (requisitado);Ministério da Cultura;Administrador;Gerente;Macapá;16;AP;AMAPÁ;Servidor da Pasta de Cultura;Irei participar para representar o Escritório MinC-AP.;Irei participar para representar o Escritório MinC-AP
Prefeitura municipal de Laranjal do Jari;Prefeitura;assistente administrativo;Auxiliar;Laranjal do Jari;16;AP;AMAPÁ;Agente Cultural;forma de prestação de contas, critérios de seleção.;forma de prestação de contas, critérios de seleção, que tipo de editais podemos esperar?
Master máxima Crew;Sociedade Civil;Presidente;Indefinido;Macapá;16;AP;AMAPÁ;Agente Cultural;O prazo de execução;O prezo de execução
Secretaria de Cultura;Secretaria Municipal de Cultura;Auxiliar administrativo;Auxiliar;Vitória do Jari;16;AP;AMAPÁ;Servidor da Pasta de Cultura;Quero aprimorar meu conhecimento em toda LPG;Editais
Secretaria Municipal de Cultura;Secretaria Municipal de Cultura;Secretária executiva;Subsecretário;Laranjal do Jari;16;AP;AMAPÁ;Servidor da Pasta de Cultura;Como será a prestação de conta;Prestação de contas
Secretaria municipal de cultura esporte lazer;Secretaria Municipal de Cultura;Diretora de cultura;Diretor;Amapá;16;AP;AMAPÁ;Gestor da Pasta de Cultura;Quantas vezes se pode receber?;Qual a maneira de receber e como participar?
Secretaria municipal de cultura;Secretaria Municipal de Cultura;Social media;Técnico;Laranjal do jari;16;AP;AMAPÁ;Servidor da Pasta de Cultura;Muitas;Muitas
Secretaria de Cultura;Secretaria Municipal de Cultura;Administrativo;Indefinido;Vitória do Jari;16;AP;AMAPÁ;Servidor da Pasta de Cultura;No momento não há dúvidas;Os editais irão fazer distinção em relação aos fazedores de cultura  ou vai ser todos paritário dentro dos respectivos recursos financeiros  destinados ao mesmos?.
FUMCULT;Fundação;Assessor Jurídico;Assessor;Macapá;16;AP;AMAPÁ;Servidor da Pasta de Cultura;Execução;Fase de elaboração do PAAR e Adequação Orçamentária
Secretaria municipal de Cultura;Secretaria Municipal de Cultura;Diretor de desenvolvimento cultural;Diretor;Laranjal do jari;16;AP;AMAPÁ;Gestor da Pasta de Cultura;Prazos de prestação de contas haverá alteração?;A aplicação do recurso a prestação de conta partirar tanto da prefeitura que capotou o recurso, como dos seguimentos beneficiados?
FUMCULT;Fundação;Diretora Presidente;Diretor;Macapá;16;AP;AMAPÁ;Gestor da Pasta de Cultura;Execução;Participação Social
Prefeitura Municipal de Laranjal do Jari;Prefeitura;Secretário Municipal de Cultura;Secretário;Laranjal do Jari;16;AP;AMAPÁ;Gestor da Pasta de Cultura;Prestação de contas;Aplicação do recursos e as outras modalidades que não sejam editais
Prefeitura Municipal de Vitória do Jari;Prefeitura;Secretário de Cultura;Secretário;Vitória do Jari;16;AP;AMAPÁ;Gestor da Pasta de Cultura;Todas;Todas
Secretário municipal de Cultura;Secretaria Municipal de Cultura;Secretaria;Secretário;Calçoene;16;AP;AMAPÁ;Gestor da Pasta de Cultura;Operacionalizacao e prestacao de conta.;Operacionalizacao
Secretaria municipal de cultura esporte e lazer;Secretaria Municipal de Cultura;Assistente técnica administrativa;Auxiliar;Pedra Branca do Amapari;16;AP;AMAPÁ;Agente Cultural;"A ""Lei Paulo Gustavo"" é conhecida como a Lei 14.186/2021, que instituiu o Programa Emergencial de Retomada do Setor de Eventos (PERSE) e o Programa de Garantia aos Setores Críticos (PGSC) em decorrência da pandemia de Covid-19. Algumas dúvidas comuns que as pessoas podem ter em relação a essa lei incluem:

1. **Beneficiários:** Quais são os beneficiários do Programa Emergencial de Retomada do Setor de Eventos e do Programa de Garantia aos Setores Críticos? Quem pode solicitar os benefícios previstos na lei?

2. **Apoio Financeiro:** Quais são os tipos de apoio financeiro previstos na Lei Paulo Gustavo? Como os recursos serão disponibilizados e distribuídos para os setores afetados pela pandemia?

3. **Requisitos e Condições:** Quais são os requisitos e condições para acessar os benefícios e auxílios previstos na lei? Quais documentos são necessários para comprovar a elegibilidade?

4. **Prazos e Vigência:** Qual é o prazo de vigência da Lei Paulo Gustavo e dos programas emergenciais instituídos por ela? Até quando os beneficiários poderão solicitar os auxílios?

5. **Impacto nos Setores:** Como a Lei Paulo Gustavo tem impactado os setores de eventos, cultura, turismo, entre outros setores críticos da economia afetados pela pandemia? Qual tem sido a efetividade e abrangência dos programas de apoio?

6. **Divulgação e Acesso à Informação:** Como as pessoas e empresas podem obter informações sobre a Lei Paulo Gustavo e os programas emergenciais? Qual é o canal oficial de comunicação para esclarecer dúvidas e orientar sobre os benefícios disponíveis?

Essas são algumas das dúvidas que as pessoas podem ter em relação à Lei Paulo Gustavo e aos programas emergenciais criados para apoiar os setores impactados pela pandemia. É importante buscar informações atualizadas junto aos órgãos responsáveis e canais oficiais de comunicação para esclarecer dúvidas específicas e obter orientações sobre como acessar os benefícios previstos na legislação.";"1. Objetivos e Finalidades: Quais são os objetivos e finalidades do Plano de Aplicação dos Recursos da Lei Aldir Blanc? Como os recursos serão distribuídos e utilizados para fomentar a cultura e apoiar os trabalhadores e trabalhadoras do setor cultural?

2. Critérios de Elegibilidade:Quais são os critérios de elegibilidade para receber os recursos disponibilizados pela Lei Aldir Blanc? Quais são os documentos necessários para comprovar a situação de trabalhador(a) da cultura ou beneficiário(a) do setor cultural?

3. Modalidades de Apoio:Quais são as modalidades de apoio previstas no Plano de Aplicação dos Recursos da Lei Aldir Blanc? Existem programas ou projetos específicos destinados a públicos ou áreas culturais específicas?

4. Procedimentos de Solicitação:Como as pessoas e entidades culturais podem solicitar os recursos previstos no PNAB? Qual é o processo para apresentar propostas, projetos ou planos de trabalho para acesso aos benefícios da Lei Aldir Blanc?

5. **Prazos e Vigência:** Qual é o prazo de vigência do Plano de Aplicação dos Recursos da Lei Aldir Blanc? Até quando os beneficiários podem solicitar os recursos e executar os projetos culturais?

6. **Transparência e Prestação de Contas:** Como será feita a prestação de contas dos recursos recebidos e utilizados no âmbito da Lei Aldir Blanc? Quais são os mecanismos de transparência e fiscalização previstos para garantir a correta aplicação dos recursos?

7. **Capacitação e Orientações:** Existem iniciativas de capacitação e orientações para os beneficiários do Plano de Aplicação dos Recursos da Lei Aldir Blanc? Como as pessoas e entidades podem obter suporte e informações para acessar os benefícios de forma adequada?"
Secretaria de cultura;Secretaria Municipal de Cultura;Agente administrativo;Auxiliar;Pedra Branca do Amaparí;16;AP;AMAPÁ;Servidor da Pasta de Cultura;Receber recursos e prestação de contas.;Quem pode se beneficiar e prestação de contas.
Secretaria de cultura desporto e fazer;Secretaria Municipal de Cultura;Secretária;Secretário;Pedra branca do Amapari;16;AP;AMAPÁ;Gestor da Pasta de Cultura;Prestação de contas.;Se mudou depois da primeira lei,tenho várias.
Secretaria de cultura de Oiapoque;Secretaria Municipal de Cultura;Secretário;Secretário;Oiapoque;16;AP;AMAPÁ;Gestor da Pasta de Cultura;Prestação de conta;Processo de licitação de produtos de aquisição da secretaria
Secretaria de Cultura;Secretaria Municipal de Cultura;Diretora de Cultura;Diretor;Tartarugalzinho;16;AP;AMAPÁ;Gestor da Pasta de Cultura;Quais serão os próximos valores destinado aos municípios?;Parte do recurso pode ser aplicado em projetos desenvolvidos pela gestão pública?
Secretaria de Cultura;Secretaria Municipal de Cultura;Assessor Técnico;Assessor;Itaubal;16;AP;AMAPÁ;Servidor da Pasta de Cultura;Data de início da prestação de contas com o ministério.;Nenhuma.
Prefeitura Municipal de Benjamin Constant;Prefeitura;Secretario;Secretário;BENJAMIN CONSTANT;13;AM;AMAZONAS;Gestor da Pasta de Cultura;É obrigado por as contrapartidas nos sites oficiais das prefeituras?;A realizacao de obras, para por exemplo escultura, so pode ser por empresa por meio de licitacao correto?
SECRETARIA MUNICIPAL DE CULTURA E TURISMO;Secretaria Municipal de Cultura;SECRETÁRIO;Secretário;AMATURÁ;13;AM;AMAZONAS;Gestor da Pasta de Cultura;Conhecimentos gerais;Compreensão do plano
Setur;Secretaria Municipal de Turismo;Secretário;Secretário;Boca do Acre;13;AM;AMAZONAS;Gestor da Pasta de Cultura;Sobra do Recurso;Cultura Viva
Ministério da Cultura;Ministério da Cultura;Servidora;Indefinido;Manaus;13;AM;AMAZONAS;Servidor da Pasta de Cultura;Implementação e execução;"Sobre PNCV 
Relação com os comitês"
MinC;Ministério da Cultura;Coordenador substituto;Coordenador;Manaus;13;AM;AMAZONAS;Servidor da Pasta de Cultura;Acompanhar;Acompanhar
MinC;Ministério da Cultura;Servidor;Indefinido;Manaus;13;AM;AMAZONAS;Servidor da Pasta de Cultura;Esclarecimento geral;Esclarecimentos gerais
Prefeitura de itamarati;Prefeitura;Assessor;Assessor;Manaus;13;AM;AMAZONAS;Servidor da Pasta de Cultura;Sobre o processo;Sobre o processo
Concultura;Sociedade Civil;PRESIDENTE;Indefinido;MANAUS;13;AM;AMAZONAS;Gestor da Pasta de Cultura;Prestação de contas;Formulação dos projetos no PAAR
SECRETARIA DE CULTURA E TURISMO;Secretaria Municipal de Cultura;SECRETARIO;Secretário;CODAJÁS;13;AM;AMAZONAS;Gestor da Pasta de Cultura;PRESTAÇÃO DE CONTAS E RESTO DO RECURSO;EXECUÇÃO
Sec. Mun de Cultura de Itamarati;Secretaria Municipal de Cultura;Assessor;Assessor;Itamarati;13;AM;AMAZONAS;Consultor;Nenhuma;A execução da lei em relação aos tipos de evento
Secretaria de Educação Cultura e Esporte;Secretaria Municipal de Educação;Coordenadora de Cultura;Coordenador;Manaquiri;13;AM;AMAZONAS;Servidor da Pasta de Cultura;Prestação de contas da LPG.;Prestação de contas da PNAB.
SECRETARIA MUNICIPAL DE TURISMO E CULTURA - SEMTUC;;Servidor;Indefinido;Nhamundá;13;AM;AMAZONAS;Servidor da Pasta de Cultura;.;.
Prefeitura municipal de São Paulo de Olivença;Prefeitura;Secretário;Secretário;São Paulo de Olivença;13;AM;AMAZONAS;Gestor da Pasta de Cultura;Execução, pois nossa realidade no município é outra. Não possuímos teatro, artistas circenses, salas de cinemas. Teríamos de trazer formações para o município.;A distribuição de valores, porcentagem. Nossa realidade é outra. Se podemos gastar com grupos de danças (vestuários, aluguéis de som, iluminação, pagamentos individuais..)
Secretaria Municipal de Cultura e Turismo;Secretaria Municipal de Cultura;Administrativo;Indefinido;Uarini;13;AM;AMAZONAS;Servidor da Pasta de Cultura;Como fazer a execução de forma correta;Como fazer a execução de forma correta e as principais exigências
Secretaria Municipal de Cultura e Turismo;Secretaria Municipal de Cultura;Coordenador de Cultura;Coordenador;Barreirinha;13;AM;AMAZONAS;Servidor da Pasta de Cultura;Aplicação do recurso oriundo dos rendimentos da LPG.;Construção do PAAR.
Conselho Municipal de Cultura;Conselho Municipal de Cultura;Vice-presidente;Conselheiro;Manaus;13;AM;AMAZONAS;Gestor da Pasta de Cultura;Detalhes de prestação de contas;Detalhes sobre a Cultura Viva
CONSELHO MUNICIPAL DE CULTURA;Conselho Municipal de Cultura;ASSESSOR TÉCNICO;Técnico;Manaus;13;AM;AMAZONAS;Servidor da Pasta de Cultura;Será disponibilizado modelos para prestação de contas do Fundo ao Governo Federal?;"Será disponibilizado modelos de editais?
No que pode e/ou no que não pode usar os 5%?
Será disponibilizado modelos para prestação de contas do Fundo ao Governo Federal?"
Secretaria de Estado de Cultura e Economia Criativa;Secretaria Estadual de Cultura;Assessora Jurídica;Assessor;Manaus;13;AM;AMAZONAS;Servidor da Pasta de Cultura;Gostaria de saber se os editais a serem lançados com recurso que sobrou precisam passar por nova oitiva da classe ou se podemos seguir o solicitado nas oitivas realizadas em 2023;"Gostaria de mais informações sobre as ações relacionadas a Política Cultura Viva e a sua execução, bem como a certificação simplificada.
Gostaria de saber os critérios a serem utilizados para classificar áreas como periféricas."
Secretaria Municipal de Cultura;Secretaria Municipal de Cultura;Diretor de Departamento;Diretor;Novo Airão;13;AM;AMAZONAS;Servidor da Pasta de Cultura;Prestação de contas;O que é preciso obra receber anualmente o recurso? Qual conta cai?
Secretaria Municipal de Cultura de Nhamunda;Secretaria Municipal de Cultura;Secretária;Secretário;Nhamundá;13;AM;AMAZONAS;Gestor da Pasta de Cultura;.;.
Secretaria Municipal de Cultura Turismo e Eventos;Secretaria Municipal de Cultura;Subsecretário;Subsecretário;Itacoatiara;13;AM;AMAZONAS;Gestor da Pasta de Cultura;Terá continuidade?;Mão temos ponto nem pontão de Cultura em Itacoatiara, como invisto os recursos para a Cultura Viva?
Secretaria municipal de cultura;Secretaria Municipal de Cultura;Secretário;Secretário;Novo Airão;13;AM;AMAZONAS;Servidor da Pasta de Cultura;O que devo fazer nas realização das otivas;Posso paga priacao de festival ?
FUNDACAO MUNICIPAL DE CULTURA, TURISMK E ESPORRWS DE SILVES - SILVESTUR;Fundação;Diretor-Presidente;Diretor;Manaus;13;AM;AMAZONAS;Gestor da Pasta de Cultura;Qualificação;Qualificação
Secretária de Cultura;Secretaria Municipal de Cultura;Coordenadora;Coordenador;Autazes;13;AM;AMAZONAS;Servidor da Pasta de Cultura;Existe a possibilidade do gestor usar esses recursos federais e fazer desvio da verba;De forma essa verba pode subsídiar nos projetos culturais
Secretaria Municipal de Educação e Cultura;Secretaria Municipal de Educação;Coordenadora de Cultura;Coordenador;Manacapuru;13;AM;AMAZONAS;Servidor da Pasta de Cultura;Minha Cida não tem sala de cinema e portanto não  houve demanda no edital,  mas temos uma sala que atende o público quando precisa passar filmes e documentários, porém ela está inserida no Centro Cultural,  que faz parte da Secretaria,  nossa dúvida é  podemos  adequar esta sala.;"-Só  podemos fechar o PAAR no Sistema, somente após aprovado na Câmara  o projeto de adequação orçamentária?
 Visto que, já fizemos uma escuta pública com o Conselho de Cultura  e outra com os artistas."
SECTUR;Secretaria Municipal de Cultura;Coordenadora de Cultura;Coordenador;Maués;13;AM;AMAZONAS;Servidor da Pasta de Cultura;Prestação de contas;Se podemos adquirir bens para doação aos artistas?
Secretaria Municipal de Cultura e Turismo;Secretaria Municipal de Cultura;Secretário Municipal;Secretário;Humaitá;13;AM;AMAZONAS;Gestor da Pasta de Cultura;Muitas;Muitas
Prefeitura Municipal de Coari - Secretaria Municipal de Cultura;Secretaria Municipal de Cultura;Diretor de Departamento;Diretor;Coari;13;AM;AMAZONAS;Servidor da Pasta de Cultura;teremos a oportunidade de executá-la novamente ?;ainda estou estudando o material e ainda não tenho dúvidas
Secretaria Municipal de Cultura de Careiro da Várzea;Secretaria Municipal de Cultura;Secretário;Secretário;Careiro da Várzea;13;AM;AMAZONAS;Gestor da Pasta de Cultura;1. Os recursos de premiação podem ser repassados para projetos que ainda serão implantados? Pois adequação orçamentária do meu município permite apenas executar como premiações.;"1. Pode ser realizado contratação direta para serviços, exemplo: Irei realizar um evento, contrataria palco, som, cantores, produtores etc, é possível fazer isso? 
2. É possível comprar bens para a secretaria, exemplo: Violões, máquina fotográfica, mesas etc."
Secretaria de Estado de Cultura e Economia Criativa do Amazonas;Secretaria Estadual de Cultura;Assessor de Políticas Culturais;Assessor;MANAUS;13;AM;AMAZONAS;Servidor da Pasta de Cultura;nenhuma.;Como se dará a certificação de pontos pelo edital do ente? o ente ficará responsável de analisar essa documentação ou o MinC?
Secretaria de Cultura;Secretaria Municipal de Cultura;Coordenadora Municipal;Coordenador;Boa Vista do Ramos;13;AM;AMAZONAS;Servidor da Pasta de Cultura;Prestação de contas!;Prestação de contas
Prefeitura;Prefeitura;Funcionária pública;Indefinido;Ibititá;29;BA;BAHIA;Servidor da Pasta de Cultura;Todas;Algumas
Ministério da Cultura;Ministério da Cultura;Servidora;Indefinido;Salvador;29;BA;BAHIA;Servidor da Pasta de Cultura;Acompanhamento Escritório do MinC;Acompanhamento Escritório do MinC
Conselho municipal de cultura;Conselho Municipal de Cultura;Conselheiro;Conselheiro;Ruy Barbosa;29;BA;BAHIA;Agente Cultural;Em busca de entender a LPG;Busca do entender todo o prosseso da PNAB
Secretaria municipal de cultura, Turismo e economia criativa;Secretaria Municipal de Cultura;Secretário municipal;Secretário;Itaberaba;29;BA;BAHIA;Gestor da Pasta de Cultura;Algumas;Algumas
Prefeitura;Prefeitura;Diretor de cultura;Diretor;Jussara Bahia;29;BA;BAHIA;Gestor da Pasta de Cultura;Quem vai exercer é o prefeito;Quanto tempo pra refazer caso agente perca o prazo
Secretária de Educação, Esporte e Cultura de Amélia Rodrigues;Secretaria Municipal de Educação;Coordenador Geral de Projetos e Eventos;Coordenador;Amélia Rodrigues;29;BA;BAHIA;Servidor da Pasta de Cultura;adequação do SMC;PAAR
Conselho municipal de cultura;Conselho Municipal de Cultura;Conselheiro;Conselheiro;Ruy Barbosa;29;BA;BAHIA;Agente Cultural;Em busca de entender a LPG;Busca do entender todo o prosseso da PNAB
Secretaria de Educação e Cultura;Secretaria Municipal de Educação;Secretária de Educação cultura e esporte;Secretário;Itagimirim;29;BA;BAHIA;Gestor da Pasta de Cultura;Conhecer as leis;Como fortalecer as ações no município.
Secretaria Municipal de Educação, Cultura, Desporto e Turismo;Secretaria Municipal de Educação;Auxiliar administrativo;Auxiliar;Mundo Novo;29;BA;BAHIA;Servidor da Pasta de Cultura;Prazo para pagamento dos agentes culturais;Como serão os editais
Secretaria de Cultura, Esporte e Lazer;Secretaria Municipal de Cultura;Gerente;Gerente;Matina;29;BA;BAHIA;Gestor da Pasta de Cultura;se essa Lei pode ser modificada e relação ao município?;nenhuma
Secretaria de Educação;Secretaria Municipal de Educação;Diretora de Cultura;Diretor;VárzeaNova;29;BA;BAHIA;Gestor da Pasta de Cultura;Após execução do editais. Restou valores em conta. O que fazer?;Formulação dos editais
Secretaria de Cultura, Esporte e Turismo;Secretaria Municipal de Cultura;Diretor;Diretor;Alagoinhas;29;BA;BAHIA;Servidor da Pasta de Cultura;Cobrança de ingresso;Cultura Viva
Conselho de cultura;Conselho Municipal de Cultura;Agente cultural;Agente Cultural;Boninal;29;BA;BAHIA;Agente Cultural;Preciso participar de mais algumas das lives e reuniões até para poder formular a perguntas;Como podemos acessar
Secretaria de Educação e Cultura;Secretaria Municipal de Educação;Coordenação Técnica;Coordenador;Itaguaçu da Bahia;29;BA;BAHIA;Servidor da Pasta de Cultura;Qual o prazo para finalizar todas as Atividades referente a LPG?;Qual o prazo para a execução da PNAB?
Circo;Sociedade Civil;Proprietário-artista;Agente Cultural;Miguel calmon;29;BA;BAHIA;Agente Cultural;Prazo de execução geral da LPG;Quem pode participar?
Secretaria de Educação de Boninal;Secretaria Municipal de Educação;Coordenador do Ensino em Tempo Integral;Coordenador;BONINAL;29;BA;BAHIA;Agente Cultural;Vai ter em 2024?;Como construir o PAAR?
Secretaria Municipal de Educação, Esporte e Cultura. SEMEC;Secretaria Municipal de Educação;Coordenadora de Cultura;Coordenador;Ibirapuã;29;BA;BAHIA;Servidor da Pasta de Cultura;Prestação de Contas;Muitas dúvidas.
Secretaria de educação e cultura;Secretaria Municipal de Educação;Diretor de cultura;Diretor;Boninal;29;BA;BAHIA;Gestor da Pasta de Cultura;Prestação de contas;Fica mais por dentro sobre o processo
Secretaria Municipal de Educação e Cultura;Secretaria Municipal de Educação;Diretor de Cultura;Diretor;Água Fria;29;BA;BAHIA;Servidor da Pasta de Cultura;"Qual o prazo limite para prestação de contas por parte dos agentes culturais?

É necessário recolher o imposto (ex. ISS) dos agentes contemplados?";É necessário recolher o imposto (ex. ISS) dos agentes contemplados?
Secretaria de cultura,turismo,esporte e laser;Secretaria Municipal de Cultura;Assessora;Assessor;Rafael jambeiro;29;BA;BAHIA;Servidor da Pasta de Cultura;Prestação de contas;Prasos
Semec;Secretaria Municipal de Educação;Coordenação de cultura;Coordenador;Xique-Xique;29;BA;BAHIA;Gestor da Pasta de Cultura;Prestação de contas;Plano de.acão
Secretaria Municipal de Cultura, Comércio e Turismo de Iaçu;Secretaria Municipal de Cultura;Diretora de Cultura;Diretor;Iaçu;29;BA;BAHIA;Servidor da Pasta de Cultura;Existe possibilidade de ampliação do prazo para execução dos recursos?;Existe possibilidade de ampliação do prazo para execução dos recursos?
